¼à²âÊ±¼ä	Ò»Ñõ»¯Ì¼	¶þÑõ»¯µª	³ôÑõ	PM10	PM2.5	¶þÑõ»¯Áò	AQI
2016/6/13	0.902	46	154	64	40	22	95
2016/6/12	0.78	31	166	60	36	15	106
2016/6/11	0.75	28	151	47	28	9	93
2016/6/10	0.804	34	98	55	33	8	53
2016/6/9	0.814	38	120	40	25	6	67
2016/6/8	0.781	40	165	56	33	15	105
数据集统计描述：           CO      NO2       O3     PM10    PM2.5      SO2      AQI
count  1461.00  1461.00  1461.00  1461.00  1461.00  1461.00  1461.00
mean      0.90    46.77    91.23    81.72    50.51     9.49    89.06
std       0.29    16.55    54.26    53.72    35.61     4.20    42.12
min       0.40     8.00     3.00     9.00     4.00     3.00    25.00
25%       0.70    35.00    50.00    44.00    26.00     6.00    59.00
50%       0.80    45.00    78.00    69.00    41.00     8.00    79.00
75%       1.00    57.00   127.00   104.00    64.00    11.00   108.00
max       2.80   121.00   293.00   480.00   313.00    31.00   375.00
